Country name,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-16","gini of household income reported in Gallup, by wp5-year","Most people can be trusted, Gallup","Most people can be trusted, WVS round 1981-1984","Most people can be trusted, WVS round 1989-1993","Most people can be trusted, WVS round 1994-1998","Most people can be trusted, WVS round 1999-2004","Most people can be trusted, WVS round 2005-2009","Most people can be trusted, WVS round 2010-2014"
Afghanistan,2018,2.694303274154663,7.4945878982543945,0.5075158476829529,52.599998474121094,0.37353554368019104,-0.08488787710666656,0.9276056885719299,0.4241253137588501,0.40490439534187317,0.3646664023399353,-2.1563119139715554,-1.208282667269456,1.40834379196167,0.5227116942405701,0.3737979789250913,0.3854377083728868,0.2906813323497772,0.19197231531142944,0.3904802825450897,0.28392481539737097,0.24957434069304985,0.26807041443474666,0.2643360556709388,0.23749304511730077
Albania,2018,5.0044026374816895,9.412399291992188,0.6835916638374329,68.69999694824219,0.8242123126983643,0.005384950898587704,0.8991293907165527,0.713299572467804,0.31899672746658325,0.43533796072006226,0.17161792836944212,-0.1893756280857674,2.640530824661255,0.5276415348052979,0.3737979789250913,0.30325,0.45617419481277466,-7.164066210389338,0.3904802825450897,0.28392481539737097,0.2432432472705841,0.23199999332427979,0.2643360556709388,0.23749304511730077
Algeria,2018,5.043086051940918,9.557951927185059,0.7986513376235962,65.9000015258789,0.5833805799484253,-0.17241300642490387,0.7587041258811951,0.5910429358482361,0.2929455637931824,0.3694930466603813,-0.8057426718565134,-0.7938446310850291,1.9739428758621216,0.39141565561294556,0.3737979789250913,0.276,0.66787189245224,0.1911082978153389,0.3904802825450897,0.28392481539737097,0.24957434069304985,0.10764430463314056,0.2643360556709388,0.17928633093833923
Argentina,2018,5.792796611785889,9.809971809387207,0.8999115824699402,68.80000305175781,0.8458946943283081,-0.20693662762641907,0.8552552461624146,0.8203096985816956,0.32050207257270813,0.2613522708415985,-0.07686015364861787,-0.9436438773030896,2.4725587368011475,0.4268333315849304,0.4163023180940116,0.4609375,0.40535593032836914,0.7062086910009313,0.2700732946395874,0.2235528975725174,0.17084361612796783,0.1501535326242447,0.17405752837657928,0.19353072345256805
Armenia,2018,5.062448501586914,9.119423866271973,0.8144490122795105,66.9000015258789,0.8076436519622803,-0.14910869300365448,0.6768263578414917,0.5814877152442932,0.4548402726650238,0.6708276271820068,0.3696754977865977,-0.26150854986102645,2.1021106243133545,0.4152359664440155,0.2591122974963183,0.31925,0.40640348196029663,0.1911082978153389,0.3904802825450897,0.28392481539737097,0.23499999940395355,0.26807041443474666,0.2643360556709388,0.10913580656051636
Australia,2018,7.176993370056152,10.721020698547363,0.9401372671127319,73.5999984741211,0.9160281419754028,0.13779540359973907,0.40464749932289124,0.7590188384056091,0.18745636940002441,0.46883687376976013,0.49890647226364626,1.5490239693634797,1.7502825260162354,0.24387405812740326,0.31899999999999246,0.34275,0.4298142194747925,0.1911082978153389,0.4781493842601776,0.28392481539737097,0.3944920599460602,0.26807041443474666,0.4613790214061737,0.5181400775909424
Austria,2018,7.396001815795898,10.74189281463623,0.9116681218147278,73.0,0.9041119813919067,0.05155233293771744,0.5230605602264404,0.752350389957428,0.22605879604816437,0.4886787235736847,1.8506472892501002,1.322288819045675,1.5519400835037231,0.2098350077867508,0.4934205607476639,0.3026923076923077,0.2995043992996216,0.1911082978153389,0.3904802825450897,0.28392481539737097,0.24957434069304985,0.26807041443474666,0.2643360556709388,0.23749304511730077
Azerbaijan,2018,5.167995452880859,9.678013801574707,0.7812299132347107,65.5,0.772449254989624,-0.25179529190063477,0.5612062811851501,0.5925753712654114,0.19139166176319122,0.8343719244003296,-1.0995315218871495,-0.7072178755291352,1.8633021116256714,0.36054638028144836,0.3737979789250913,0.211,0.2604098320007324,0.1911082978153389,0.3904802825450897,0.28392481539737097,0.1943056881427765,0.26807041443474666,0.2643360556709388,0.14793293178081512
Bangladesh,2018,4.4992170333862305,8.220746040344238,0.7055560350418091,64.30000305175781,0.9014708399772644,-0.03800833597779274,0.7014212012290955,0.5413447022438049,0.3612377941608429,0.8316931128501892,-1.284560937017941,-0.8899267836789606,2.1593031883239746,0.4799286425113678,0.325,0.32775,0.3676091134548187,0.6843584775924694,0.3904802825450897,0.28392481539737097,0.20459015667438507,0.23266667127609253,0.2643360556709388,0.23749304511730077
Belarus,2018,5.23376989364624,9.778738975524902,0.9045692682266235,66.0999984741211,0.6436023712158203,-0.18186484277248383,0.7184554934501648,0.4503328502178192,0.23572862148284912,0.4212786853313446,-1.3619838098515886,-0.6144607850781703,1.6901071071624756,0.3229234516620636,0.41790243004418276,0.2812941176470589,0.293443888425827,0.1911082978153389,0.3904802825450897,0.2502463161945343,0.22992351651191711,0.26807041443474666,0.2643360556709388,0.3290649354457855
